School,City,Public or Private,Zip Code,Mental Health Services(Y/N),Student Enrollment,State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Highly Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Highly Proficient(%),Graduation Rate: 2023 (Cohort 2022) (%),Dropout Rate: 2023 (%),End of Year Promotion (%),College or Career Readiness (CCRI) Points,American Indian/ Alaska Native,Asian,Black,Hispanic,Native Hawaiian/ Pacific Islander,White,Two or More Races,Male,Female,Free lunch Eligible,Reduced-price Lunch eligible,Free lunch eligible by Direct Certification,Classroom Teachers (FTE), Student Teacher Ratio,Grade Levels,County,"Phoenix, AZ Metro Area High Schools Ranking - US News"
"Westland School Brighton Campus","Glendale, AZ",Public,85305,NaN,320,49,21,22,8,51,26,18,5,90.91,4.03,97.98,15.1,9,2,48,164,8,74,15,162,158,230,28,104,NaN,NaN,KG-12,Maricopa,159
"Aspc-Perryville","Goodyear, AZ",Public,85338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Basis Goodyear","Goodyear, AZ",Public,85338,NaN,290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,76,55,76,1,62,18,141,149,NaN,NaN,NaN,NaN,NaN,5-12,Maricopa,NaN
"Desert Edge High School","Goodyear, AZ",Public,85338,NaN,1993,36,28,30,6,47,31,16,6,93.48,2.62,99.29,16,11,53,263,1150,11,408,95,1042,949,756,258,307,84.3,23.62,9-12,Maricopa,77
"Estrella Foothills High School","Goodyear, AZ",Public,85338,Y,1398,26,30,35,10,29,29,29,13,95.54,1.35,99.7,19,12,13,68,644,5,596,60,701,697,52,26.88,279,111,137,9-12,Maricopa,72
"Great Hearts Academies - Archway Trivium West","Goodyear, AZ",Public,85395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Great Hearts Academies - Trivium Prep","Goodyear, AZ",Public,85395,NaN,894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,89,55,316,7,355,69,452,442,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,NaN
"Millennium High School","Goodyear, AZ",Public,85395,NaN,2121,18,25,39,17,34,26,23,17,93.75,1.05,99.14,18.3,3,89,55,316,7,355,69,452,442,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,37
"West-Mec - Desert Edge High School","Goodyear, AZ",Public,85034,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,0,0,3,2,4,3,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
West-Mec - Estrella Foothills High School,"Goodyear, AZ",Public,85338,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,0,0,2,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
West-Mec - Millennium High School,"Goodyear, AZ",Public,85338,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,3,0,0,7,0,3,8,NaN,NaN,NaN,NaN,NaN,7-12,Maricopa,NaN
"Williams Field High School","Highley, AZ",Public,85236,NaN,2115,15,23,38,23,17,24,31,27,97,1.05,99.39,18.4,24,99,165,490,11,1179,147,1103,1102,274,105,150,98.65,21.44,8-12,Maricopa,51
"Betty Fairfax High School","Laveen, AZ",Public,85339,NaN,1973,46,29,21,4,46,32,17,5,80.1,4.02,97.71,16.1,138,42,408,1160,9,149,67,970,1003,966,177,458,90,21.92,9-12,Maricopa,122
"Cesar Chavez High School","Laveen, AZ",Public,85339,NaN,2724,62,22,15,2,61,28,10,2,80.31,3.19,97.67,14.3,78,30,393,2055,9,96,64,1351,1374,1444,245,709,126.94,21.47,9-12,Maricopa,108
Country Gardens Charter School,"Laveen, AZ",Public,85339,Y,322,54,22,19,5,53,29,12,6,100,11.32,98.36,20,5,2,34,179,0,88,10,156,162,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,NaN
"Heritage Academy Laveen","Laveen, AZ",Public,85339,NaN,650,33,24,36,7,48,29,16,7,98.82,0.2,99.37,20,5,23,52,351,4,191,24,317,333,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,163-193
Academy with Community Partners,"Mesa, AZ",Public,85203,N,171,77,21,2,0,70,30,0,0,22.03,27.14,83.58,31.9,10,3,13,93,0,43,9,89,82,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
Arizona Agribusiness & Equine Center Inc. - Red Mountain,"Mesa, AZ",Public,85215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Asu Preparatory Academy-Polytechnic High School,"Mesa, AZ",Public,85215,N,457,15,21,40,24,24,26,25,24,100,0.67,99.54,19.3,12,20,30,204,2,164,26,272,186,NaN,NaN,NaN,NaN,NaN,8-12,Maricopa,99
"Basis Mesa","Mesa, AZ",Public,85212,NaN,837,8,12,54,26,10,23,37,30,100,0,99.76,20,4,260,49,151,0,314,62,450,390,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,8
Carson Junior High School,"Mesa, AZ",Public,85201,NaN,1062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126,4,83,605,18,187,39,537,525,637,106,382,55.54,19.12,7-8,Maricopa,NaN
Desert Ridge High School,"Mesa, AZ",Public,85209,NaN,2284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,58,66,678,11,1349,102,1179,1105,342,182,166,98.8,23.12,8-12,Maricopa,98
"Desert Ridge Junior High School","Mesa, AZ",Public,85209,NaN,973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,17,36,261,5,582,66,503,470,184,68,88,47.8,20.36,7-8,Maricopa,NaN
Dobson High School,"Mesa, AZ",Public,85202,NaN,2370,46,23,25,6,51,27,16,5,78.94,3.95,97.74,17.3,145,55,190,1251,34,622,73,1201,1169,1019,260,513,117.7,20.14,9-12,Maricopa,110
Eagleridge Enrichment Program,"Mesa, AZ",Public,85210,NaN,645,30,22,30,17,43,9,39,9,NaN,NaN,100,NaN,1,16,11,91,0,499,26,324,320,64,38,46,11.47,56.15,KG-9,Maricopa,NaN
East Valley Academ,"Mesa, AZ",Public,85201,N,307,83,17,0,0,83,17,0,0,18.87,26.75,81.69,20.8,24,0,13,230,2,33,5,156,151,27.2,11.29,165,18,82,9-12,Maricopa,NaN
East Valley High School,"Mesa, AZ",Public,85207,NaN,156,64,20,13,2,74,19,6,0,72.92,20.41,98.81,27.1,4,1,10,81,0,48,11,85,70,29,9,NaN,NaN,NaN,9-12,Maricopa,NaN
Faith Christian School,"Mesa, AZ",Public,85205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Franklin Junior High School,"Mesa, AZ",Public,85206,NaN,269,1,9,45,44,6,13,32,49,NaN,NaN,100,NaN,6,4,3,64,0,187,5,114,155,45,21,24,18.2,14.78,7-8,Maricopa,NaN
"Fremont Junior High School","Mesa, AZ",Public,85205,NaN,986,38,22,30,10,37,19,21,23,NaN,NaN,100,NaN,12,8,35,384,4,511,30,539,445,334,108,171,55,17.89,7-8,Maricopa,NaN
"Heritage Academy","Mesa, AZ",Public,85210,NaN,782,13,22,47,17,26,27,32,15,91.89,0.92,98.69,20,2,3,5,204,3,551,14,372,410,NaN,NaN,NaN,NaN,NaN,7-12,Maricopa,39
Highland Jr High School,"Mesa, AZ",Public,85212,NaN,979,26,21,36,17,35,18,22,26,NaN,NaN,100,NaN,19,34,24,210,6,628,58,498,481,215,78,90,46.8,20.92,6-8,Maricopa,NaN
"Imagine East Mesa Middle School","Mesa, AZ",Public,85208,N,120,32,22,38,8,44,27,19,9,NaN,NaN,100,NaN,0,1,7,52,0,48,12,64,56,NaN,NaN,50,25,23,7-8,Maricopa,NaN
Kino Junior High School,"Mesa, AZ",Public,85203,NaN,915,69,18,12,1,87,10,3,0,NaN,NaN,96.36,NaN,61,0,46,702,3,79,23,455,459,603,109,291,55.17,16.57,7-8,Maricopa,NaN
Learning Foundation,"Mesa, AZ",Public,85203,N,190,69,16,14,2,60,19,19,2,NaN,NaN,94.35,NaN,1,1,18,111,0,44,15,89,101,140,15,79,NaN,NaN,KG-12,Maricopa,163-193
"Legacy Elementary School","Mesa, AZ",Public,85207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Mesa Academy for Advanced Studies","Mesa, AZ",Public,85207,NaN,409,1,5,46,48,4,14,39,43,NaN,NaN,100,NaN,4,11,9,86,0,276,24,218,192,49,28,24,21.8,18.81,4-9,Maricopa,NaN
"Mesa Distance Learning Program","Mesa, AZ",Public,85203,NaN,107,15,24,49,12,35,28,33,4,0,12.78,86.6,NaN,3,1,5,37,0,59,2,39,68,NaN,NaN,NaN,43.2,2.48,KG-12,Maricopa,163-193
Mesa High School,"Mesa, AZ",Public,85204,NaN,3475,52,27,17,5,50,30,13,6,77.88,5.98,98.18,17,68,16,142,2416,21,745,67,1767,1708,1633,417,732,166.4,20.88,9-12,Maricopa,104
"Mesa Transitional Learning Center","Mesa, AZ",Public,85210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mountain View High School,"Mesa, AZ",Public,85213,NaN,3374,19,26,34,21,24,26,29,21,85.36,2.96,98.46,18.5,152,36,99,1004,25,1971,85,1720,1652,741,236,345,160.8,20.97,9-12,Maricopa,44
"Poston Junior High School","Mesa, AZ",Public,85213,NaN,881,49,22,24,5,59,17,14,10,NaN,NaN,100,NaN,25,5,43,462,9,307,30,448,433,49.01,17.98,431,88,241,7-8,Maricopa,NaN
"Red Mountain High School","Mesa, AZ",Public,85207,NaN,3448,23,22,34,21,24,26,22,27,91.14,1.77,99.2,18.4,50,62,123,883,19,2193,118,1761,1687,724,206,385,166,20.77,9-12,Maricopa,28
"Redeemer Christian School","Mesa, AZ",Private,85203,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,2,4,22,49,1,4,NaN,NaN,NaN,NaN,NaN,NaN,7.8,12,NaN,NaN
"Rhodes Junior High School","Mesa, AZ",Public,85202,N,677,58,21,18,3,73,12,9,5,NaN,NaN,100,NaN,64,4,50,432,7,101,21,351,328,373,88,192,41,16.56,7-9,Maricopa,NaN
"Sequoia Choice School Arizona Distance Learning School","Mesa, AZ",Public,85204,NaN,3062,52,20,23,5,71,17,9,3,27.86,16.76,87.85,11.4,110,26,125,612,13,2068,129,1580,1503,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,NaN
"Sequoia School for the Deaf and Hard of Hearing","Mesa, AZ",Public,85204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Sequoia Secondary School","Mesa, AZ",Public,85204,NaN,371,72,16,10,2,78,15,5,1,74.51,9.82,99.45,14.1,13,0,20,275,5,51,8,183,189,174,0,122,NaN,NaN,7-12,Maricopa,163-193
"Shepherd Junior High School","Mesa, AZ",Public,85205,NaN,604,34,24,33,9,45,22,21,12,NaN,NaN,99.84,NaN,8,9,12,188,6,352,28,276,327,150,60,87,33.6,17.95,4-8,Maricopa,NaN
"Skyline High School","Mesa, AZ",Public,85208,NaN,2249,47,26,21,6,52,28,16,4,78.75,5.17,97.86,15.7,55,27,99,1134,12,875,46,1146,1102,944,224,444,145.56,15.44,9-12,Maricopa,106
"Smith Junior High School","Mesa, AZ",Public,85207,NaN,841,45,23,27,5,69,16,12,3,NaN,NaN,100,NaN,21,13,31,383,6,353,34,462,379,462,379,378,92,208,7-8,Maricopa,NaN
"Sonoran Desert School","Mesa, AZ",Public,85205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Stapley Junior High School","Mesa, AZ",Public,85213,NaN,980,31,20,37,12,30,14,23,33,NaN,NaN,100,NaN,85,8,9,212,3,646,15,507,471,195,48,99,50,19.56,7-8,Maricopa,NaN
"Sun Valley High School","Mesa, AZ",Public,85204,NaN,372,76,17,4,3,82,17,1,0,16.58,34.33,78.42,35,16,2,28,243,1,69,14,177,196,205,26,129,NaN,NaN,9-12,Maricopa,NaN
Taylor Junior High School,"Mesa, AZ",Public,85204,NaN,995,52,22,23,4,58,19,16,6,NaN,NaN,97.16,NaN,25,6,46,603,10,284,21,516,479,497,129,263,7-8,57.17,7-8,Maricopa,NaN
"Vista Grove Preparatory Academy Middle School","Mesa, AZ",Public,85213,Y,31,60,24,16,0,88,4,8,0,NaN,NaN,100,NaN,2,0,13,14,0,1,1,15,16,24,0,17,NaN,NaN,7-9,Maricopa,NaN
"Westwood High School","Mesa, AZ",Public,85201,NaN,3571,55,22,17,6,53,26,14,6,68.9,7.9,96.96,17.4,401,31,214,2047,37,754,86,1787,1783,1749,392,847,170.2,20.98,9-12,Maricopa,109
Phoenix Country Day School,"Mesa, AZ",Private,85253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Aurora Day School","Peoria, AZ",Private,85381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Basis Peoria","Peoria, AZ",Public,85383,NaN,974,6,12,51,30,4,13,36,47,100,0,99.69,20,3,669,49,59,5,156,33,521,453,NaN,NaN,NaN,NaN,NaN,5-12,Maricopa,1
"Centennial High School","Peoria, AZ",Public,85381,NaN,2007,22,26,37,15,25,31,26,18,96.04,1.01,99.59,20,25,69,118,764,6,920,105,1036,971,521,100,252,88.73,22.62,7-12,Maricopa,57
"Desert Pointe Academy","Peoria, AZ",Public,85345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Great Hearts Academies - Glendale Prep","Peoria, AZ",Public,85383,Y,610,13,21,48,17,21,24,30,25,100,0.9,100,19,3,80,12,89,5,389,32,287,323,NaN,NaN,NaN,NaN,NaN,6-12,Maricopa,69
"Liberty High School","Peoria, AZ",Public,85383,NaN,2603,15,28,46,11,22,33,28,18,98.28,0.67,99.58,20,10,99,82,428,10,1836,138,1329,1274,182,52,93,116.05,22.43,7-12,Maricopa,74
"Ombudsman - Charter Northwest","Peoria, AZ",Public,85345,NaN,142,75,18,4,4,76,21,3,0,20.99,15.02,70.55,34.2,5,0,16,78,1,41,1,79,63,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
"Peoria Accelerated High School","Peoria, AZ",Public,85345,NaN,543,75,18,7,0,77,21,2,0,25.48,18.23,84.26,35,11,7,57,368,3,82,21,274,275,345,43,186,NaN,NaN,9-12,Maricopa,NaN
Peoria Ecampus,"Peoria, AZ",Public,85304,NaN,188,21,19,45,15,37,27,22,14,NaN,1.44,100,17.9,3,6,12,72,2,87,7,78,111,NaN,NaN,NaN,NaN,NaN,KG-12,Maricopa,NaN
"Peoria Flex Academy","Peoria, AZ",Public,85381,NaN,92,79,14,7,0,67,24,9,0,84.13,6.75,93.1,24.5,3,1,5,44,0,37,2,54,38,39,5,32,20.43,4.5,8-12,Maricopa,NaN
"Peoria High School","Peoria, AZ",Public,85345,NaN,1564,39,28,27,6,45,31,15,9,95.48,1.59,99.58,19.7,32,53,155,863,8,398,57,768,798,704,140,375,73.29,21.37,7-12,Maricopa,113
Sonoran Science Academy-Peoria,"Peoria, AZ",Public,85382,NaN,232,41,22,26,11,45,25,19,11,NaN,NaN,100,NaN,3,7,37,51,1,113,21,137,96,76,18,39,NaN,NaN,KG-8,Maricopa,NaN
"Student Choice High School","Peoria, AZ",Public,85382,N,229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,6,13,71,0,137,0,130,99,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
"Sunrise Mountain High School","Peoria, AZ",Public,85382,NaN,2018,16,29,36,19,23,28,27,22,98.59,0.83,99.85,20,7,62,60,392,5,1401,91,1063,955,242,60,136,99.61,20.26,7-12,Maricopa,79
"West-Mec - Centennial High School","Peoria, AZ",Public,85381,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,1,0,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
"West-Mec - Liberty High School","Peoria, AZ",Public,85383,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
"West-Mec - Peoria High School","Peoria, AZ",Public,85345,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,0,1,1,NaN,NaN,NaN,NaN,NaN,7-12,Maricopa,NaN
"West-Mec - Sunrise Mountain High School","Peoria, AZ",Public,85382,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-12,Maricopa,NaN
"91st Psalm Christian School","Phoenix, AZ",Private,85042,NaN,172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,13,89,43,0,5,NaN,NaN,NaN,NaN,NaN,15.3,10.1,PK-12,Maricopa,NaN
"Aaec - Paradise Valley","Phoenix, AZ",Public,85032,NaN,315,5,14,48,32,14,31,26,29,100,0.87,100,20,1,13,5,53,0,230,14,114,202,NaN,NaN,NaN,NaN,NaN,9-12,Maricopa,NaN
"Aaec - Smcc Campus","Phoenix, AZ",Public,85042,NaN,484,22,31,40,7,41,35,22,3,99.15,0,100,20,4,2,19,430,0,27,4,200,286,213,34,94,NaN,NaN,9-12,Maricopa,NaN
Accel,"Phoenix, AZ",Private,85051,NaN,184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,1,23,73,79,0,5,NaN,NaN,NaN,NaN,NaN,19,9.7,KG-12,Maricopa,NaN
Accelerated Learning Center,"Phoenix, AZ",Public,85028,NaN,153,48,35,18,0,56,29,12,2,51.22,4.07,79.5,NaN,1,1,1,16,1,75,4,60,40,NaN,NaN,NaN,19,15:1,NaN,Maricopa,NaN
Adobe Mountain School,"Phoenix, AZ",Public,85027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Maricopa,NaN
Aim Higher College Prep Academy,"Phoenix, AZ",Public,85040,Y,70,42,23,26,9,62,18,14,7,NaN,NaN,98.65,10,1,1,1,98,1,2,1,41,59,NaN,NaN,NaN,18,18:1,NaN,Maricopa,NaN
Arcadia High School,"Phoenix, AZ",Public,85018,Y,1603,16,23,38,22,26,31,22,22,92.92,1.54,98.46,19.8,3,2,4,34,1,55,1,52,48,NaN,NaN,NaN,22,22:1,9-12,Maricopa,NaN
Arizona Call-a-teen Center For Excellence,"Phoenix, AZ",Public,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Maricopa,NaN
Arizona Collegiate High School,"Phoenix, AZ",Public,85017,N,117,45,4,0,0,92,8,0,0,48.31,20.93,77.86,35,1,1,6,90,1,3,1,53,47,NaN,NaN,NaN,34,34:1,NaN,Maricopa,NaN
Arizona Conservatory For Arts And Academics,"Phoenix, AZ",Public,85053,NaN,180,58,19,17,6,54,27,13,6,NaN,NaN,98.22,NaN,4,1,16,35,1,36,8,38,62,NaN,NaN,NaN,NaN,NaN,NaN,Maricopa,NaN
